gene_name	DAY0_001	DAY0_002	DAY0_003	DAY0_004	DAY0_005	DAY2_001	DAY2_002	DAY2_003	DAY2_004	DAY2_005	DAY4_001	DAY4_002	DAY4_003	DAY4_004	DAY4_005	DAY6_001	DAY6_002	DAY6_003	DAY6_004	DAY6_005	DAY8_001	DAY8_002	DAY8_003	DAY8_004	DAY8_005
Sh2d3c	36.03	111.58	109.88	8.01	0	27.28	10.27	13.21	14.46	17.24	0.31	2.75	16.89	17.67	0	7.47	98.73	29.7	0	0	40.81	0	21.95	49.56	0
Eef2	202.02	259.82	171.7	446.21	158.08	848.26	866	593.56	731.67	661.55	730.22	1079.39	691.1	564.88	1119.28	289.85	464.91	880.72	597.63	351.89	421.3	460.81	718.07	258.94	765.23
Ppap2a	0.36	284.64	74.27	425.94	30.7	0	5.16	25.92	0	1.57	0	0	0	0	0	0	0.3	0	0	0	57.26	0	0	0	0
Flt1	53.96	48.27	61.17	49.93	96.59	1.17	8.64	21.62	1.66	3.86	0	48.08	0	0	4.78	0	0	0	0	0	0	0	0	3.31	0
Hist1h2ac	0	1.75	0.61	9.82	4.06	0.67	6.66	11.36	3.45	1.16	4.01	1.1	0.36	13.58	0	10.57	11.35	3.03	1.21	2.03	2.35	53.96	6.96	3.44	1.43
Tspan32	0	0	0	0	0	103.36	72.4	17.36	77.77	54.36	158.2	7.26	26.56	1.99	32.17	294.38	29.4	273.15	45.29	22.58	301.03	173.44	29.78	41.28	34.14
Lamtor5	20.41	49.98	99.68	0.95	89.22	68.85	123.79	37.07	46.73	32.55	0.99	3.2	51.18	2.07	0	46.15	67.94	179.86	114.65	33.81	23.72	0	0	64.88	1.47
Cers2	41.33	103.45	73.54	72.27	92.85	24.14	89.38	103.69	161.74	211.72	85.61	127.59	106.14	153.99	41.89	119.56	217.7	114.78	135.07	1.75	231.13	224.79	105.06	38.08	7.25
Ptplad2	0.01	0	1.48	0	0.99	25.12	5.7	32.1	24.32	4.36	104.58	34.92	14.97	91.02	77.55	8.13	95.93	114.5	40.44	42.93	211.21	42.8	147.91	241.73	56.66
Stab1	35.87	119.06	260.45	97.14	0.48	0	0	1.29	19.14	0	0	0	0	0.68	12.39	12.35	10.68	0	17.83	2.21	0	0	0	0	0
Tspan13	92.6	138.65	30.49	0.36	209.91	76.7	102.4	151.85	3.25	86.78	6.59	2.11	0	4.86	0	119	0.03	290.8	136.96	280.81	277.39	44.52	7.7	7.02	44.7
Cd9	81.53	175.56	163.42	0.31	60.18	68.73	35.6	81.26	38.31	104.01	0.06	187.88	62.92	0.53	1.03	106.22	93.16	21.34	0	121.54	9.35	0.35	5.16	3.83	0
Ebp	99.85	7.83	40.69	0	0	1.13	5.28	63.46	2.31	37.37	0	0	0	0	0	47.17	20.32	0	76.29	43.18	54.44	0	0	0	56.94
Ctse	0.01	0.06	0	0.05	0	4.16	15.88	0.08	24.88	0.03	68.64	3.41	30.68	0.76	51.18	0.04	3.86	2.13	0.26	0.46	0.08	8.11	0.04	4.53	0.01
Dhx57	55.74	18.8	1.18	21.13	0.79	12.31	9.71	0.3	12.94	21.35	28.45	1.25	23.07	0	0.31	49.99	7.78	1.01	3.13	24.98	1.31	45.35	0	0.7	0
