sample	PC1	PC2	stage
G5d1	-347.250825949553	-35.5747758078647	D5
G5d2	92.3529152856078	-66.5712855946357	D5
G10d1	-38.9323938012434	16.2720467555989	D10
G10d2	96.9569899112486	-35.2850201104519	D10
G15d1	-19.5580304348682	69.5550592469998	D15
G15d2	93.4613805336084	-4.17993833040765	D15
M5d1	-67.2552973995923	-54.8024883099436	D5
M5d2	66.2094707831181	-65.6852888903397	D5
M10d1	-37.5880074590906	96.5545987996602	D10
M10d2	72.6274509522039	15.9011219670866	D10
M15d1	36.389391929448	38.1462396777344	D15
M15d2	52.586955649107	25.6697305965632	D15
