sample_name	sample	stage	embryo
esophagus_16w_embryo1_24	esophagus	16w	embryo1
esophagus_16w_embryo1_33	esophagus	16w	embryo1
esophagus_19w_embryo1_7	esophagus	19w	embryo1
esophagus_21w_embryo2_56	esophagus	21w	embryo2
esophagus_24w_embryo1_10	esophagus	24w	embryo1
esophagus_24w_embryo1_49	esophagus	24w	embryo1
esophagus_24w_embryo1_8	esophagus	24w	embryo1
LI_19w_embryo1_28	LI	19w	embryo1
LI_19w_embryo1_37	LI	19w	embryo1
LI_19w_embryo1_49	LI	19w	embryo1
LI_24w_embryo1_15_V	LI	24w	embryo1
SI_11w_embryo1_13	SI	11w	embryo1
SI_11w_embryo1_16	SI	11w	embryo1
SI_11w_embryo1_42	SI	11w	embryo1
SI_11w_embryo1_55	SI	11w	embryo1
SI_11w_embryo1_72	SI	11w	embryo1
SI_11w_embryo1_83	SI	11w	embryo1
SI_14w_embryo1_25	SI	14w	embryo1
SI_14w_embryo1_44	SI	14w	embryo1
SI_16w_embryo1_79	SI	16w	embryo1
SI_16w_embryo1_84	SI	16w	embryo1
SI_19w_embryo1_52	SI	19w	embryo1
SI_19w_embryo1_65	SI	19w	embryo1
SI_19w_embryo1_80	SI	19w	embryo1
SI_19w_embryo1_82	SI	19w	embryo1
SI_21w_embryo2_55_V	SI	21w	embryo2
SI_21w_embryo2_71_V	SI	21w	embryo2
SI_21w_embryo2_88	SI	21w	embryo2
SI_24w_embryo1.2_16	SI	24w	embryo1
SI_24w_embryo1.2_20	SI	24w	embryo1
SI_24w_embryo1.2_25	SI	24w	embryo1
SI_24w_embryo1.2_69	SI	24w	embryo1
SI_24w_embryo1.2_70	SI	24w	embryo1
SI_24w_embryo1.2_78	SI	24w	embryo1
SI_24w_embryo1_1	SI	24w	embryo1
SI_24w_embryo1_16_V	SI	24w	embryo1
SI_24w_embryo1_24_V	SI	24w	embryo1
SI_24w_embryo1_25_V	SI	24w	embryo1
SI_24w_embryo1_29_V	SI	24w	embryo1
SI_24w_embryo1_31_V	SI	24w	embryo1
SI_24w_embryo1_40_V	SI	24w	embryo1
SI_24w_embryo1_42_V	SI	24w	embryo1
SI_24w_embryo1_52_V	SI	24w	embryo1
SI_24w_embryo1_54_V	SI	24w	embryo1
SI_24w_embryo1_60_V	SI	24w	embryo1
SI_24w_embryo1_62_V	SI	24w	embryo1
SI_24w_embryo1_63_V	SI	24w	embryo1
SI_24w_embryo1_64_V	SI	24w	embryo1
SI_24w_embryo1_65_V	SI	24w	embryo1
SI_24w_embryo1_72_V	SI	24w	embryo1
SI_24w_embryo1_81_V	SI	24w	embryo1
SI_24w_embryo1_87_V	SI	24w	embryo1
SI_24w_embryo1_88	SI	24w	embryo1
SI_25w_embryo1_14	SI	25w	embryo1
SI_25w_embryo1_33	SI	25w	embryo1
SI_25w_embryo1_59_V	SI	25w	embryo1
SI_7w_embryo1_60	SI	7w	embryo1
SI_7w_embryo1_86	SI	7w	embryo1
SI_7w_embryo2_21	SI	7w	embryo2
SI_7w_embryo2_84	SI	7w	embryo2
stomach_11w_embryo1_27	stomach	11w	embryo1
stomach_14w_embryo1_12	stomach	14w	embryo1
stomach_16w_embryo1_15	stomach	16w	embryo1
stomach_16w_embryo1_51	stomach	16w	embryo1
stomach_21w_embryo2_67	stomach	21w	embryo2
stomach_24w_embryo1.2_27	stomach	24w	embryo1
stomach_24w_embryo1.2_65	stomach	24w	embryo1
stomach_24w_embryo1.2_81	stomach	24w	embryo1
stomach_25w_embryo1_50	stomach	25w	embryo1
stomach_6w_embryo1_29	stomach	6w	embryo1
LI_8w_embryo1_9	LI	8w	embryo1
SI_11w_embryo1_10	SI	11w	embryo1
SI_11w_embryo1_15	SI	11w	embryo1
SI_11w_embryo1_2	SI	11w	embryo1
SI_11w_embryo1_4	SI	11w	embryo1
SI_11w_embryo1_7	SI	11w	embryo1
SI_16w_embryo1_22	SI	16w	embryo1
SI_16w_embryo1_35	SI	16w	embryo1
SI_16w_embryo1_40	SI	16w	embryo1
SI_19w_embryo1_37	SI	19w	embryo1
SI_21w_embryo2_59_V	SI	21w	embryo2
SI_21w_embryo2_60_V	SI	21w	embryo2
SI_21w_embryo2_66_V	SI	21w	embryo2
SI_21w_embryo2_67_V	SI	21w	embryo2
SI_21w_embryo2_72_V	SI	21w	embryo2
SI_21w_embryo2_73_V	SI	21w	embryo2
SI_21w_embryo2_80_V	SI	21w	embryo2
SI_21w_embryo2_83_V	SI	21w	embryo2
SI_21w_embryo2_84_V	SI	21w	embryo2
SI_24w_embryo1_15	SI	24w	embryo1
SI_24w_embryo1_2	SI	24w	embryo1
SI_24w_embryo1_37_V	SI	24w	embryo1
SI_24w_embryo1_4_V	SI	24w	embryo1
SI_24w_embryo1_42	SI	24w	embryo1
SI_24w_embryo1_55	SI	24w	embryo1
SI_24w_embryo1_61	SI	24w	embryo1
SI_25w_embryo1_13_V	SI	25w	embryo1
SI_25w_embryo1_15_V	SI	25w	embryo1
SI_25w_embryo1_17	SI	25w	embryo1
SI_25w_embryo1_18_V	SI	25w	embryo1
SI_25w_embryo1_21_V	SI	25w	embryo1
SI_25w_embryo1_22	SI	25w	embryo1
SI_25w_embryo1_29	SI	25w	embryo1
SI_25w_embryo1_30_V	SI	25w	embryo1
SI_25w_embryo1_44_V	SI	25w	embryo1
SI_25w_embryo1_47_V	SI	25w	embryo1
SI_25w_embryo1_48_V	SI	25w	embryo1
SI_25w_embryo1_49_V	SI	25w	embryo1
SI_25w_embryo1_51_V	SI	25w	embryo1
SI_25w_embryo1_52_V	SI	25w	embryo1
SI_25w_embryo1_53_V	SI	25w	embryo1
SI_25w_embryo1_54_V	SI	25w	embryo1
SI_25w_embryo1_55_V	SI	25w	embryo1
SI_25w_embryo1_56_V	SI	25w	embryo1
SI_25w_embryo1_58_V	SI	25w	embryo1
SI_25w_embryo1_60_V	SI	25w	embryo1
SI_25w_embryo1_71_V	SI	25w	embryo1
SI_25w_embryo1_74_V	SI	25w	embryo1
SI_25w_embryo1_81_V	SI	25w	embryo1
SI_25w_embryo1_84_V	SI	25w	embryo1
