gene_id	gene_name	gene_type	logFC	logCPM	LR	PValue	FDR	is_diff
ENSG00000122862	SRGN	protein_coding	-1.26171250216777	10.7653788058086	1567.31853159621	0	0	down
ENSG00000100448	CTSG	protein_coding	-1.57151424572203	8.07722896637003	1836.83339944459	0	0	down
ENSG00000196415	PRTN3	protein_coding	-1.96751951356923	10.3840235357737	3163.03090520094	0	0	down
ENSG00000197561	ELANE	protein_coding	-2.19321129160778	9.11171457990483	3216.02845826907	0	0	down
ENSG00000077984	CST7	protein_coding	-2.38989023051024	7.96522611291817	3661.92826115611	0	0	down
ENSG00000172232	AZU1	protein_coding	-1.32665443075694	8.17050701877881	1070.99945285592	6.63841848710082e-235	1.66878776734903e-231	down
ENSG00000138772	ANXA3	protein_coding	-3.29014549859151	4.54246401097812	934.475665709082	3.14325784505666e-205	6.77282258242708e-202	down
ENSG00000019991	HGF	protein_coding	-1.66386269597541	6.01196297523387	858.705768181117	9.30947587781878e-189	1.75518530831426e-185	down
ENSG00000108691	CCL2	protein_coding	1.09347630249212	7.59913163830183	812.403256927156	1.08491448329594e-178	1.81819612795029e-175	up
ENSG00000149516	MS4A3	protein_coding	-1.2599588048302	6.86444828009108	765.222086348268	1.96614638618275e-168	2.96553859427945e-165	down
ENSG00000272398	CD24	protein_coding	-3.70690263055315	3.73889697615838	697.396234915839	1.10131481119325e-153	1.51010284520253e-150	down
ENSG00000005381	MPO	protein_coding	-0.777346647520095	13.5859828482832	675.612973711971	6.01114804983464e-149	7.55551216963799e-146	down
ENSG00000121053	EPX	protein_coding	-1.43203686533283	6.20445657875489	664.667745337998	1.4428452314864e-146	1.67403343280842e-143	down
ENSG00000021355	SERPINB1	protein_coding	-0.817075610047846	9.31860550859515	645.574150791304	2.04951537507089e-142	2.20806002872815e-139	down
ENSG00000179218	CALR	protein_coding	-0.73195842831071	11.3349366276849	564.904842134379	7.20541706547625e-125	7.24528703990522e-122	down
ENSG00000169397	RNASE3	protein_coding	-1.36303621224172	5.97384655159184	563.290849695392	1.61715722629576e-124	1.52447390276368e-121	down
ENSG00000135636	DYSF	protein_coding	-1.97659984223543	4.52855861299557	507.94072621171	1.77932564271171e-112	1.5786805099424e-109	down
ENSG00000135821	GLUL	protein_coding	-0.712065171401598	9.40480763908143	498.812168522035	1.72353083580407e-110	1.44422308869071e-107	down
ENSG00000185624	P4HB	protein_coding	-0.656935297408825	9.97643038646359	452.608314039015	1.95199130374879e-100	1.54957288602331e-97	down
ENSG00000164821	DEFA4	protein_coding	-3.03269819442895	3.41805071952768	426.398319278145	9.8810051839016e-95	7.45176005943939e-92	down
ENSG00000108828	VAT1	protein_coding	-0.735639345357086	7.99478969797017	413.992285744634	4.95585433762119e-92	3.5594833797305e-89	down
ENSG00000120885	CLU	protein_coding	-1.64628244694256	4.73840424073237	407.719187250949	1.14975197767167e-90	7.88259503600993e-88	down
ENSG00000169385	RNASE2	protein_coding	-0.76335259167226	8.2082219866416	397.55024646865	1.88026580100345e-88	1.23304561202326e-85	down
ENSG00000178695	KCTD12	protein_coding	0.853986359779893	6.95884544909319	395.779048859458	4.56872171891194e-88	2.8712512369312e-85	up
ENSG00000158470	B4GALT5	protein_coding	-0.730748895767892	7.83573576531768	384.923040257731	1.05476548414534e-85	6.36361111894564e-83	down
ENSG00000119900	OGFRL1	protein_coding	0.930046180778063	6.43699676652744	383.626764558752	2.02007429130418e-85	1.17187617445157e-82	up
ENSG00000070081	NUCB2	protein_coding	-0.662571395944659	8.47183979293504	380.016112915402	1.23439231656402e-84	6.89568122619816e-82	down
ENSG00000130592	LSP1	protein_coding	0.676292215200373	8.14764917517358	357.324079472906	1.07711957149087e-79	5.80221232028458e-77	up
ENSG00000038427	VCAN	protein_coding	0.660742589242413	8.35186252893007	355.320417367328	2.9414936536219e-79	1.52988099233031e-76	up
ENSG00000129951	PLPPR3	protein_coding	-1.23348488288148	5.72444827193976	353.320347902868	8.01856059445541e-79	4.03146498153903e-76	down
ENSG00000142583	SLC2A5	protein_coding	-0.933630393529216	6.36135704083097	351.261350883629	2.25145864090941e-78	1.09544357034957e-75	down
ENSG00000085265	FCN1	protein_coding	0.857384042972124	6.71721244380761	344.024178214966	8.48186016059557e-77	3.99787177507072e-74	up
ENSG00000137193	PIM1	protein_coding	-0.712557009388574	7.56989608298366	333.301105634291	1.83574693665868e-74	8.39047607443119e-72	down
ENSG00000185198	PRSS57	protein_coding	-0.699589141593724	7.98499200436509	328.671845682475	1.87095301976329e-73	8.29987776384992e-71	down
ENSG00000105352	CEACAM4	protein_coding	-1.59546387534981	4.37768024675791	312.419231268296	6.48960019365426e-70	2.7966468491682e-67	down
ENSG00000165168	CYBB	protein_coding	0.61859465749923	8.14235659373643	311.045707374958	1.29248525464167e-69	5.41515419326676e-67	up
ENSG00000235162	C12orf75	protein_coding	1.00430696351879	5.65991612908942	310.928824290761	1.37052680357266e-69	5.58693399413147e-67	up
ENSG00000166825	ANPEP	protein_coding	-0.579949588098115	9.06070621898374	308.994922487281	3.61555682030322e-69	1.43509061896404e-66	down
ENSG00000135047	CTSL	protein_coding	0.738872227857474	7.19519921499191	307.413260186633	7.99348293375006e-69	3.09142828435262e-66	up
ENSG00000160789	LMNA	protein_coding	0.725105442150232	7.392305594294	305.912912563272	1.69663325208531e-68	6.39757983530067e-66	up
ENSG00000265735	RN7SL5P	others	1.83470278163886	3.53738180733703	301.401974661819	1.63053695324864e-67	5.9983875282559e-65	up
ENSG00000227507	LTB	protein_coding	1.33831907120912	4.52993269766158	300.620059919676	2.41369091496783e-67	8.66802382629993e-65	up
ENSG00000167419	LPO	protein_coding	-1.10986329203149	5.34577661426552	299.065214535337	5.26539164897001e-67	1.84692795910267e-64	down
ENSG00000101347	SAMHD1	protein_coding	0.571147134070868	8.70646219765807	291.087773771263	2.88099006653975e-65	9.87590299400434e-63	up
ENSG00000100427	MLC1	protein_coding	-0.615545817483828	7.82653350566384	289.89541518314	5.24015838506165e-65	1.75638464270855e-62	down
ENSG00000143546	S100A8	protein_coding	0.635491668935497	7.72470351490843	289.777031333948	5.56082505541486e-65	1.82334618067005e-62	up
ENSG00000134531	EMP1	protein_coding	0.745929836633549	6.92578705361826	288.64291113361	9.82326922299624e-65	3.1524333976692e-62	up
ENSG00000136732	GYPC	protein_coding	-0.630577848868568	7.60673784498751	274.893725796655	9.7359377725283e-62	3.05931561298009e-59	down
ENSG00000136830	FAM129B	protein_coding	0.658566262360048	7.34041885505908	270.723408116033	7.89307763939252e-61	2.42961816397872e-58	up
ENSG00000125810	CD93	protein_coding	0.644855705042643	7.28215109673324	267.81749616224	3.39299701872524e-60	1.02353148066866e-57	up
ENSG00000120875	DUSP4	protein_coding	0.815196402376819	6.15865838300186	264.860154457143	1.49677132050324e-59	4.42662780924518e-57	up
ENSG00000163220	S100A9	protein_coding	0.508591544733835	9.34773209084267	261.940920138648	6.47810278032891e-59	1.87902354299425e-56	up
ENSG00000138678	GPAT3	protein_coding	1.11336497572047	4.96023730477473	254.731719191348	2.41501621300856e-57	6.87277161147324e-55	up
ENSG00000169896	ITGAM	protein_coding	0.849783854718197	5.85902447307652	249.62096615893	3.14103460083588e-56	8.77337497859399e-54	up
ENSG00000162676	GFI1	protein_coding	-0.686434318707634	6.85985142480367	244.444461260378	4.22328886287699e-55	1.15817938034134e-52	down
ENSG00000112773	TENT5A	protein_coding	-0.650599659745071	7.06931097795592	244.067665750388	5.10273695413377e-55	1.37436752641428e-52	down
ENSG00000204482	LST1	protein_coding	0.78883684095763	6.60309979885747	243.794016137046	5.85419365843808e-55	1.54910180614424e-52	up
ENSG00000146416	AIG1	protein_coding	-1.38069850668762	4.30022993249304	242.228910915892	1.28443643913271e-54	3.34019910542046e-52	down
ENSG00000247982	LINC00926	lncRNA	-0.700740902163387	6.67711969605482	240.633459572249	2.86143449020277e-54	7.31508752808956e-52	down
ENSG00000196371	FUT4	protein_coding	-0.677685304508367	6.81849956153029	240.066011141998	3.80462763376706e-54	9.56419976668476e-52	down
ENSG00000162909	CAPN2	protein_coding	0.779827587873782	6.08957464228959	236.226575196273	2.61521403115447e-53	6.46643823473817e-51	up
ENSG00000204103	MAFB	protein_coding	0.94538126204305	5.39999686989047	234.637954046826	5.80664120255417e-53	1.4126059557762e-50	up
ENSG00000026025	VIM	protein_coding	0.524878489641898	8.71007692707409	228.070461664743	1.5709062619699e-51	3.76094907131619e-49	up
ENSG00000197629	MPEG1	protein_coding	0.542446358654375	7.62951718626687	214.895525292393	1.17451345742804e-48	2.767997887248e-46	up
ENSG00000158481	CD1C	protein_coding	1.2079346536784	4.42574821643783	214.340285075897	1.55232819348366e-48	3.60211786804832e-46	up
ENSG00000105374	NKG7	protein_coding	-0.742294945069817	6.14305218111235	210.134693815402	1.28374710441695e-47	2.93375114786679e-45	down
ENSG00000110077	MS4A6A	protein_coding	0.567718188299288	7.34946011607154	209.947897576656	1.41004536117299e-47	3.17428569889137e-45	up
