gene_id	length	G10d1	G10d2	G15d1	G15d2	G5d1	G5d2	M10d1	M10d2	M15d1	M15d2	M5d1	M5d2
ENSG00000223972	1735	6	1	7	3	3	2	2	1	4	2	5	1
ENSG00000227232	1351	502	214	605	266	801	172	477	262	318	274	358	192
ENSG00000278267	68	21	10	6	2	8	2	15	6	9	6	6	3
ENSG00000243485	1021	2	1	6	0	9	2	6	4	3	4	6	1
ENSG00000237613	1219	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	840	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000240361	940	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000186092	918	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	3726	17	11	37	12	41	6	22	21	30	21	12	5
ENSG00000239945	1319	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	3812	180	66	249	123	331	71	144	63	130	113	117	63
ENSG00000268903	755	203	86	604	294	180	36	84	54	84	75	59	38
ENSG00000269981	284	65	28	168	99	46	11	30	17	19	18	8	2
ENSG00000239906	323	24	16	57	17	30	5	7	7	8	11	9	6
ENSG00000241860	6195	1358	632	3020	1550	1164	267	589	357	489	484	480	275
ENSG00000222623	104	2	0	9	0	2	0	0	0	1	0	0	0
ENSG00000241599	457	6	4	20	7	0	0	1	0	2	2	1	1
ENSG00000279928	718	3	0	1	0	1	0	0	0	1	1	3	0
ENSG00000279457	1982	854	297	880	440	1466	281	1004	548	658	512	609	312
ENSG00000273874	68	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000228463	4039	52	34	127	66	106	19	41	25	44	49	22	15
ENSG00000236679	385	2	0	1	1	7	4	7	2	0	2	6	0
ENSG00000236601	1095	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000237094	4792	574	311	829	413	865	178	384	229	251	218	355	158
ENSG00000269732	363	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	2477	12	6	19	7	25	9	22	6	7	8	8	4
ENSG00000250575	1239	335	159	745	370	372	81	169	94	125	106	123	66
ENSG00000278757	104	3	0	8	1	0	0	0	1	0	1	0	0
ENSG00000230021	4479	18	2	40	15	22	3	16	9	6	6	13	11
ENSG00000235146	635	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	372	397	158	294	137	931	182	417	220	320	290	431	202
ENSG00000225630	1044	3467	1511	3304	1656	10563	2133	2278	1228	2069	1821	5302	2901
ENSG00000237973	1543	17452	8384	15777	8319	50673	10926	18866	11034	11920	11300	22420	12323
ENSG00000278791	89	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	682	83	42	79	37	300	67	93	55	49	72	146	51
ENSG00000240409	207	1	1	0	0	5	0	4	2	2	1	1	1
ENSG00000248527	681	9253	4172	8910	4690	26671	5509	7824	4407	6265	5814	12803	6563
ENSG00000198744	547	219	114	155	90	852	180	242	153	129	135	343	191
ENSG00000268663	424	0	0	0	0	5	0	0	0	0	0	0	0
ENSG00000229376	2455	21	10	23	15	40	2	14	12	14	12	18	7
ENSG00000228327	6432	2056	898	3485	1760	2609	557	1383	692	1006	837	1095	562
ENSG00000223181	104	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000229905	456	0	1	0	1	0	0	1	0	0	1	2	0
ENSG00000237491	5517	179	97	120	80	236	49	151	56	127	137	105	73
ENSG00000230092	872	18	12	34	22	20	7	20	19	28	17	13	8
ENSG00000177757	1947	15	4	18	8	13	3	13	9	7	13	3	4
ENSG00000228794	9470	405	189	458	240	712	183	201	96	204	167	318	149
ENSG00000225880	1317	56	24	56	23	77	14	48	22	13	11	31	20
ENSG00000230368	1971	33	12	36	9	63	15	34	14	23	18	19	10
ENSG00000234711	1058	1	0	3	2	0	0	1	0	0	0	2	0
ENSG00000283040	837	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	351	20	10	8	4	10	3	2	2	8	14	6	3
ENSG00000230699	3043	130	50	89	37	134	20	50	27	58	66	44	21
ENSG00000241180	443	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000223764	4152	140	62	50	25	103	15	48	16	47	48	20	5
ENSG00000187634	3214	23	13	11	9	28	5	13	9	11	9	11	6
ENSG00000188976	5539	2872	1306	1699	857	6859	1531	1498	770	1149	1011	3493	1835
ENSG00000187961	3395	453	219	335	186	898	201	448	229	194	191	397	169
ENSG00000187583	2833	2	1	4	3	3	0	4	2	1	2	2	0
ENSG00000187642	3424	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000272512	2086	8	3	1	0	1	0	1	0	0	0	1	0
ENSG00000188290	1118	5	1	1	0	1	0	0	0	3	0	2	1
ENSG00000187608	942	211	88	124	61	430	81	345	143	190	189	246	122
ENSG00000231702	154	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	471	0	0	2	1	0	1	0	0	1	1	0	1
ENSG00000188157	10758	539	219	299	145	1302	276	749	390	387	334	554	288
ENSG00000242590	402	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	2171	18	7	11	6	46	16	34	12	32	24	23	21
ENSG00000273443	829	4	1	0	0	6	3	2	2	5	1	2	1
ENSG00000237330	1902	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	6322	593	212	439	177	1181	245	413	247	295	261	565	308
ENSG00000223823	1620	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000207730	111	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	111	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000198976	83	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	987	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205231	3532	2	2	0	1	4	1	0	2	0	0	2	3
ENSG00000162571	3943	3	6	1	3	38	4	4	0	3	0	12	7
ENSG00000186891	1370	15	11	4	4	62	9	10	2	13	12	26	13
ENSG00000186827	1721	17	11	16	5	91	8	20	5	23	11	55	19
ENSG00000078808	4709	5117	2155	4423	2233	10290	2102	3465	1871	2400	2047	4562	2381
ENSG00000176022	2777	794	331	586	253	1959	405	559	287	553	493	1058	505
ENSG00000184163	1794	15	5	29	15	20	4	19	11	22	19	12	1
ENSG00000260179	1558	13	2	8	5	16	5	9	4	8	10	7	1
ENSG00000160087	4712	1226	556	1225	562	2713	551	1148	621	836	689	1621	770
ENSG00000230415	513	13	3	17	6	36	13	28	19	27	15	13	11
ENSG00000162572	4025	100	52	100	43	233	38	110	71	104	82	83	51
ENSG00000131584	8809	2335	1049	2072	962	3592	718	2277	1165	1374	1190	1757	908
ENSG00000278073	61	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	2489	299	140	244	113	708	140	229	97	160	141	430	194
ENSG00000127054	8220	2515	1118	2235	1067	5465	1087	2274	1266	1417	1244	2624	1385
ENSG00000240731	386	114	48	81	37	191	30	58	36	45	33	85	49
ENSG00000224051	2556	307	114	372	170	697	146	311	186	264	186	370	186
ENSG00000169962	3433	13	2	23	8	33	9	25	8	18	17	12	7
ENSG00000107404	3814	1126	502	761	370	2536	536	875	474	622	510	1266	588
ENSG00000162576	3622	155	61	94	55	215	39	162	86	140	129	109	54
ENSG00000175756	1669	1607	700	1442	652	3465	681	1246	628	887	722	2019	979
ENSG00000223663	367	1	1	0	1	2	3	1	0	1	0	2	0
ENSG00000221978	6850	4332	1812	3896	1856	7469	1574	4139	2284	3209	2813	3420	1779
ENSG00000224870	2525	662	314	504	249	1574	335	504	241	299	319	674	361
ENSG00000242485	2788	1640	783	1132	627	4207	918	1137	695	995	945	2223	1127
ENSG00000264293	293	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	1523	89	44	82	29	217	46	91	55	51	65	110	63
ENSG00000235098	2644	1	0	4	0	4	1	5	3	2	3	4	1
ENSG00000225905	543	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205116	492	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225285	851	0	0	0	0	4	2	0	0	0	0	2	0
ENSG00000179403	5065	10	1	1	2	31	6	19	10	13	8	12	6
ENSG00000215915	3976	19	11	17	9	89	12	10	3	2	8	36	10
ENSG00000160072	7682	1407	661	849	442	4159	860	779	383	667	621	2225	1089
ENSG00000197785	3069	1806	788	1020	456	5506	1149	730	380	721	560	2849	1418
ENSG00000205090	1380	4	0	7	2	20	0	9	5	6	10	3	4
ENSG00000160075	6925	2786	1290	2631	1377	6299	1345	2460	1473	2014	1855	3328	1694
ENSG00000215014	2101	45	12	44	24	79	31	35	25	25	28	38	21
ENSG00000274481	400	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	2085	371	145	356	169	536	113	200	107	238	189	212	125
ENSG00000272106	2038	114	65	87	35	197	38	93	46	68	73	83	41
ENSG00000197530	8767	994	397	943	412	1595	294	1387	709	788	656	637	291
ENSG00000189409	2714	7	4	8	2	17	2	22	11	13	6	10	2
ENSG00000248333	3488	2043	926	2067	981	4504	976	1660	845	1055	909	2167	1129
ENSG00000272004	400	2	1	0	0	2	0	0	1	1	0	2	1
ENSG00000189339	8395	2563	1245	2878	1438	5632	1243	2927	1641	1981	1775	2621	1448
ENSG00000269737	1422	92	39	116	72	171	40	89	40	65	54	77	41
ENSG00000215914	1017	3	0	1	1	5	1	0	4	9	2	2	1
ENSG00000008128	4701	100	37	97	46	167	40	81	47	61	69	86	39
ENSG00000268575	5079	102	46	112	47	148	27	99	48	65	54	78	24
ENSG00000227775	2759	192	99	186	106	475	95	190	121	128	117	213	110
ENSG00000215790	3264	209	82	190	94	433	64	232	148	151	137	234	90
ENSG00000008130	5570	4793	2190	7842	4004	6994	1427	4610	2309	3570	3182	3459	1850
ENSG00000078369	6417	9909	4630	9718	5182	24605	5419	9088	5210	5805	5173	12899	6714
ENSG00000231050	906	8	1	2	1	6	3	7	1	0	1	6	3
ENSG00000169885	2321	7	6	2	1	26	4	13	10	6	4	7	5
ENSG00000178821	1594	5	0	1	2	15	5	2	0	0	1	14	6
ENSG00000142609	10422	1	2	0	0	1	2	2	0	0	1	0	0
ENSG00000233542	1954	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	1928	0	0	0	0	2	1	1	1	0	0	1	0
ENSG00000226969	538	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606	7636	36	12	32	35	84	21	24	17	26	16	41	23
ENSG00000271806	4196	4	1	3	3	5	0	1	2	0	2	0	2
ENSG00000182873	1734	12	9	24	11	50	8	11	4	7	5	18	9
ENSG00000162585	10916	652	278	705	315	1314	258	758	360	611	540	699	301
ENSG00000234396	326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	6080	1032	414	1382	666	3073	592	944	460	725	573	1910	1000
ENSG00000116151	11337	102	42	89	62	299	79	97	45	74	87	165	81
ENSG00000272161	493	0	0	0	0	2	2	0	0	3	2	0	0
ENSG00000269896	2407	33	23	23	9	93	12	21	14	19	21	37	13
ENSG00000272420	568	8	3	10	2	12	3	7	2	6	4	5	0
ENSG00000157916	5691	2835	1227	2654	1379	5573	1155	2577	1502	1643	1553	2789	1483
ENSG00000157911	3789	252	101	161	68	608	131	192	102	131	109	340	190
ENSG00000149527	10781	10	3	7	6	10	3	14	8	12	6	6	4
ENSG00000224387	455	0	1	0	0	2	1	0	0	2	0	0	0
ENSG00000229393	514	1	1	1	0	1	0	1	1	1	0	0	0
ENSG00000157881	5107	554	263	521	308	1415	317	630	322	299	314	784	397
ENSG00000197921	1306	0	0	0	0	2	0	0	0	0	0	1	0
